Status,ExternalReference,DistributionChannel,UserLanguage,Q2,Q3,Q2.1,Q3.1,Q4,Q27,Q28,Q29,Q30,Q42,Q43,Q44,Q50,Q45,Q13,Q14,Q15,Q32,Q33,Q34,Q35,Q36,Q46,Q47,Q48,Q49,Q18,Q37,Q38,Q39,Q40,Q41,Q32.1,Q33.1,Q34.1,Q35.1,Q36.1,Q37.1,Q38.1,Q39.1,Q40.1,Q41.1,Q42.1,Q43.1,gender,gender_4_TEXT,age,nationality
IP Address,,anonymous,EN-GB,Yes,66c49503a807af05d99fad68,Strongly agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely satisfied,A great deal,A great deal,A lot,A great deal,Sometimes,A lot,A lot,A little,None at all,A lot,A moderate amount,A great deal,A moderate amount,A great deal,A great deal,A great deal,A great deal,A moderate amount,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,A lot,A lot,A great deal,A great deal,A lot,A great deal,A great deal,A moderate amount,A lot,A moderate amount,Male,,27,South African 
IP Address,,anonymous,EN-GB,Yes,64fc701b223abd16ad5c940e,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Extremely satisfied,A great deal,A great deal,A great deal,A great deal,About half the time,A little,Somewhat,Somewhat,None at all,A little,A little,A little,None at all,A lot,A moderate amount,A lot,A lot,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A moderate amount,A little,A moderate amount,A moderate amount,A lot,A great deal,A moderate amount,None at all,A moderate amount,A moderate amount,A moderate amount,Male,,20,Portuguese
IP Address,,anonymous,EN-GB,Yes,6660652b4c5633c5faf905bf,Somewhat agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,A lot,A great deal,A great deal,A moderate amount,Sometimes,Somewhat,Not at all,Not at all,None at all,A little,None at all,None at all,A little,A little,None at all,A little,A lot,None at all,A moderate amount,A little,A lot,A moderate amount,A great deal,None at all,A moderate amount,A lot,A great deal,A moderate amount,A little,A great deal,A moderate amount,A moderate amount,A lot,A moderate amount,A great deal,Male,,24,South Africa
IP Address,,anonymous,EN-GB,Yes,666304b5091a455ee43be001,Strongly agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,A great deal,A lot,A lot,A moderate amount,Sometimes,A lot,Somewhat,A lot,A little,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A great deal,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,Female,,21,south african
IP Address,,anonymous,EN-GB,Yes,6104137bc1330f986495583d,Somewhat agree,Somewhat agree,Strongly agree,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Extremely satisfied,A moderate amount,A lot,A lot,A moderate amount,Sometimes,Somewhat,A lot,A little,None at all,A moderate amount,None at all,None at all,A little,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,A great deal,A lot,A lot,A great deal,A great deal,A lot,A lot,A lot,A moderate amount,A lot,A great deal,A great deal,A lot,None at all,A little,A little,A little,Female,,25,greek
IP Address,,anonymous,EN-GB,Yes,66951edef3c8435688947b60,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat dissatisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,A moderate amount,A great deal,A great deal,A lot,Sometimes,Not at all,Somewhat,A lot,None at all,A moderate amount,A lot,A moderate amount,A little,A lot,A great deal,A lot,A great deal,A moderate amount,A great deal,A great deal,A lot,A little,A moderate amount,A little,A lot,A great deal,A great deal,A great deal,A lot,A little,A great deal,A little,A great deal,A great deal,A great deal,Female,,27,South African 
IP Address,,anonymous,EN-GB,Yes,66a3a64f3c8295f770ac3272,Somewhat agree,Somewhat agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,A moderate amount,A great deal,A moderate amount,A lot,Sometimes,A lot,A lot,Completely,A lot,A moderate amount,A lot,A lot,A moderate amount,A lot,A moderate amount,A great deal,A moderate amount,A lot,A lot,A lot,A moderate amount,A moderate amount,A great deal,A little,A moderate amount,A great deal,A lot,A lot,A lot,A lot,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,Female,,26,South African 
IP Address,,anonymous,EN-GB,Yes,66704038ed9c2e159e7121a3,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Sometimes,A lot,A lot,Somewhat,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A lot,A lot,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,Female,,24,Nepalese
IP Address,,anonymous,EN-GB,Yes,584ec5d84e111700010b18a1,Somewhat agree,Somewhat agree,Strongly agree,Extremely dissatisfied,Extremely satisfied,Somewhat dissatisfied,Extremely satisfied,A great deal,A great deal,None at all,A great deal,Sometimes,Somewhat,Completely,A little,None at all,A moderate amount,A moderate amount,A moderate amount,None at all,A moderate amount,None at all,A great deal,A moderate amount,A moderate amount,A lot,A great deal,A great deal,A great deal,A great deal,None at all,A moderate amount,A moderate amount,A little,None at all,A lot,A great deal,A moderate amount,A little,A moderate amount,A little,A moderate amount,Female,,35,Canadian
IP Address,,anonymous,EN-GB,Yes,668d47c713ff36650d859118,Strongly agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Extremely satisfied,A lot,A great deal,A lot,A great deal,Never,A lot,Completely,A lot,A little,A lot,A little,A moderate amount,A lot,A great deal,A great deal,A great deal,A great deal,A moderate amount,A great deal,A great deal,A lot,A great deal,A great deal,A lot,A lot,A lot,A great deal,A lot,A lot,A great deal,A lot,A moderate amount,A lot,A lot,A lot,Female,,36,South african
IP Address,,anonymous,EN-GB,Yes,668bf6f7a86132c761ee2555,Somewhat agree,Somewhat agree,Strongly agree,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A great deal,A moderate amount,A lot,A moderate amount,Sometimes,Somewhat,A lot,A lot,A little,A little,A moderate amount,A moderate amount,A little,A lot,A lot,A lot,A lot,A moderate amount,A lot,A great deal,A lot,A lot,A great deal,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,A lot,A lot,A lot,A moderate amount,Male,,37,Nigerian
IP Address,,anonymous,EN-GB,Yes,6064c3a336824475868018a6,Strongly agree,Somewhat agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Extremely satisfied,A great deal,A lot,A lot,A great deal,About half the time,A lot,A lot,A little,None at all,A lot,A moderate amount,A lot,A little,A lot,None at all,A lot,A lot,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,A lot,A great deal,A lot,A great deal,A great deal,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Male,,38,Mexican
IP Address,,anonymous,EN-GB,Yes,616eb2d976db1b90a9c2907b,Strongly agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Extremely satisfied,A great deal,A great deal,A great deal,A great deal,Sometimes,Completely,Completely,A lot,A lot,A lot,A lot,A lot,A moderate amount,A lot,A lot,A great deal,A great deal,A moderate amount,A lot,A lot,A lot,A lot,A lot,A moderate amount,A moderate amount,A great deal,A great deal,A lot,A great deal,A lot,A lot,A lot,A great deal,A lot,A great deal,Female,,23,South African
IP Address,,anonymous,EN-GB,Yes,664b50c641af886936a71fac,Somewhat agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A little,A lot,A great deal,A moderate amount,Sometimes,A lot,A lot,Somewhat,A little,A moderate amount,None at all,None at all,A little,A moderate amount,A moderate amount,A little,A little,A lot,A lot,A moderate amount,A little,A moderate amount,A great deal,A moderate amount,A little,None at all,A lot,A moderate amount,A lot,A great deal,A lot,A moderate amount,A great deal,A lot,A lot,Female,,26,South African
IP Address,,anonymous,EN-GB,Yes,657339a709e2919a96fb8fd8,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A lot,A lot,A lot,None at all,Sometimes,Somewhat,Somewhat,Somewhat,None at all,None at all,A little,A little,A lot,A great deal,A great deal,A great deal,A great deal,A moderate amount,A moderate amount,A moderate amount,A little,A little,A great deal,A moderate amount,A moderate amount,A lot,A lot,A lot,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,A lot,A lot,Female,,30,South African
IP Address,,anonymous,EN-GB,Yes,66c73fddb7d1861ac43ecee2,Strongly agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely dissatisfied,Extremely satisfied,A great deal,A great deal,A great deal,A great deal,Never,A lot,A lot,Not at all,None at all,A lot,A moderate amount,A moderate amount,None at all,A great deal,None at all,A great deal,A little,None at all,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,None at all,A great deal,A little,A great deal,A great deal,A great deal,A moderate amount,A little,A little,A little,Male,,28,Greek
IP Address,,anonymous,EN-GB,Yes,6697c2177d987a6d52b2b964,Strongly agree,Strongly disagree,Strongly agree,Extremely dissatisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,A great deal,A great deal,A great deal,A great deal,Never,Completely,Completely,Completely,None at all,A great deal,A lot,A great deal,A lot,A great deal,A great deal,A great deal,A great deal,None at all,A moderate amount,A little,A little,A moderate amount,A great deal,A great deal,A lot,A great deal,A lot,A lot,A great deal,A little,A moderate amount,A little,A lot,A lot,A little,Female,,33,South African
IP Address,,anonymous,EN-GB,Yes,612f689ce22db566d4f2a0bb,Somewhat agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A moderate amount,A lot,A little,A lot,Most of the time,Somewhat,A lot,Not at all,None at all,A lot,A lot,A moderate amount,None at all,A lot,A lot,A moderate amount,A moderate amount,A moderate amount,A lot,A great deal,A great deal,A moderate amount,A little,A lot,A moderate amount,A lot,A little,A moderate amount,A lot,A little,A moderate amount,A moderate amount,A little,A little,A little,Female,,22,South African
IP Address,,anonymous,EN-GB,Yes,669272e6e0a8b35901c83cf2,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither satisfied nor dissatisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,A lot,A lot,A great deal,A lot,Never,Somewhat,A little,Somewhat,A little,A great deal,A lot,A lot,A great deal,A moderate amount,A lot,A lot,A moderate amount,A little,A lot,A little,A little,A little,A little,A lot,A little,A lot,A lot,A lot,A great deal,A lot,A great deal,A lot,A lot,A moderate amount,A lot,Female,,21,AFRICAN
IP Address,,anonymous,EN-GB,Yes,603e80821e9e5ed5aa62a889,Somewhat agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A great deal,A great deal,A lot,A great deal,About half the time,A lot,A lot,Not at all,A moderate amount,A little,A little,A moderate amount,None at all,A lot,A moderate amount,A lot,A moderate amount,A lot,A lot,A lot,A great deal,A lot,A lot,A lot,A moderate amount,A little,A great deal,A moderate amount,A lot,A lot,A lot,A little,A little,A moderate amount,A little,Female,,24,Polish
IP Address,,anonymous,EN-GB,Yes,66a8e1c5ce39bf6edaeb8eba,Somewhat agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A great deal,A great deal,A great deal,None at all,About half the time,Somewhat,Completely,A little,None at all,A moderate amount,None at all,A moderate amount,A little,A lot,A moderate amount,A great deal,A lot,A little,A great deal,A lot,A moderate amount,A little,A moderate amount,A moderate amount,A lot,A little,A great deal,A moderate amount,A lot,A great deal,A lot,A little,A moderate amount,A moderate amount,A lot,Female,,33,portuguese
IP Address,,anonymous,EN-GB,Yes,5ec3a1a6e0ceef2078de1799,Somewhat agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat satisfied,A lot,A lot,A moderate amount,A little,Most of the time,A little,Completely,Not at all,None at all,A little,None at all,None at all,None at all,A moderate amount,None at all,A moderate amount,A little,A moderate amount,A lot,A lot,A little,A lot,A moderate amount,A little,A little,None at all,A moderate amount,A little,A lot,A great deal,A moderate amount,A little,A little,A little,A little,Male,,42,Portuguese
IP Address,,anonymous,EN-GB,Yes,665f1c364bc446f5e04e6bf8,Somewhat agree,Strongly agree,Somewhat agree,Somewhat satisfied,Extremely satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A little,A lot,A lot,A little,Sometimes,Somewhat,Not at all,Not at all,None at all,A little,None at all,None at all,None at all,None at all,A little,A little,A lot,None at all,A moderate amount,A lot,A lot,A lot,A lot,A lot,A lot,A great deal,A lot,A lot,A lot,A lot,None at all,None at all,A lot,A lot,A lot,Female,,31,South African
IP Address,,anonymous,EN-GB,Yes,66a3b686b9b37bcc67d24e0b,Strongly agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Extremely satisfied,Extremely satisfied,A great deal,A great deal,A moderate amount,A great deal,Most of the time,Somewhat,Completely,Not at all,None at all,None at all,None at all,None at all,None at all,A great deal,A great deal,A lot,None at all,None at all,None at all,A lot,A moderate amount,None at all,A great deal,None at all,A moderate amount,A moderate amount,A great deal,A little,A great deal,A great deal,A great deal,None at all,A great deal,A great deal,A great deal,Male,,28,southAfrican
IP Address,,anonymous,EN-GB,Yes,59773e23d05b880001a37ad1,Strongly agree,Strongly agree,Strongly agree,Extremely dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A great deal,None at all,A moderate amount,A moderate amount,Sometimes,A lot,Completely,Not at all,None at all,None at all,None at all,None at all,None at all,A little,None at all,A little,None at all,None at all,A little,A little,A little,A little,A moderate amount,None at all,None at all,A moderate amount,A little,None at all,A little,A little,A little,None at all,A little,A little,A little,Female,,41,British 
IP Address,,anonymous,EN-GB,Yes,613433e6d6d82dbdad53e847,Somewhat agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Extremely satisfied,A great deal,A moderate amount,A moderate amount,A great deal,Sometimes,A lot,A lot,Somewhat,A little,A moderate amount,A little,A lot,A little,A great deal,A lot,A lot,A lot,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,A lot,A great deal,A great deal,A lot,A great deal,A lot,A lot,A little,None at all,None at all,None at all,Female,,23,South African
IP Address,,anonymous,EN-GB,Yes,6693db35c1fb16b737ddce8a,Somewhat agree,Somewhat agree,Somewhat agree,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,A great deal,A great deal,A moderate amount,A little,Sometimes,Completely,A little,Completely,A little,A great deal,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,A great deal,A great deal,A great deal,A lot,A moderate amount,A great deal,A great deal,A moderate amount,A lot,A great deal,A moderate amount,A lot,A great deal,None at all,None at all,A little,None at all,Female,,25,South African
IP Address,,anonymous,EN-GB,Yes,60d5e9938384f6644bd5bd4d,Strongly agree,Strongly agree,Strongly agree,Extremely dissatisfied,Extremely satisfied,Somewhat dissatisfied,Somewhat satisfied,A moderate amount,A great deal,A great deal,A moderate amount,Always,Completely,Completely,Completely,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A moderate amount,A moderate amount,A great deal,A lot,A lot,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Female,,42,south african
IP Address,,anonymous,EN-GB,Yes,60a020fe6b59323208518e14,Strongly agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,A moderate amount,A great deal,None at all,A little,Never,A lot,A lot,Not at all,None at all,A moderate amount,A moderate amount,A moderate amount,A little,A moderate amount,None at all,A moderate amount,A little,A little,A lot,A moderate amount,A great deal,A lot,A lot,A little,A little,None at all,A moderate amount,A moderate amount,A great deal,A moderate amount,A moderate amount,A little,A moderate amount,None at all,A little,Male,,27,Dutch
IP Address,,anonymous,EN-GB,Yes,650c7767d1d98e9f32828087,Strongly agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Extremely satisfied,Somewhat satisfied,A great deal,A great deal,A lot,A lot,About half the time,Completely,Completely,A lot,A lot,A lot,A lot,A great deal,A lot,A great deal,A lot,A great deal,A lot,A moderate amount,A lot,A great deal,A great deal,A great deal,A great deal,A lot,A moderate amount,A moderate amount,A lot,A lot,A lot,A great deal,A great deal,A great deal,A lot,A moderate amount,A lot,Male,,53,Greek
IP Address,,anonymous,EN-GB,Yes,66b76c1a8425a6fff0ac88d7,Strongly agree,Strongly agree,Strongly agree,Somewhat satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,A great deal,A great deal,None at all,A great deal,Sometimes,A lot,A lot,A little,A moderate amount,A lot,A lot,A little,A little,A great deal,None at all,A great deal,A lot,A lot,A great deal,A great deal,A great deal,A great deal,A great deal,A moderate amount,A moderate amount,None at all,A lot,A moderate amount,A little,A little,A moderate amount,A little,A little,A little,A little,Female,,24,South African
IP Address,,anonymous,EN-GB,Yes,5f9ae7a5133b8726278b41fd,Somewhat agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A lot,A lot,A moderate amount,A lot,Sometimes,A little,A lot,A little,A little,A little,A lot,A lot,A little,A lot,A little,A lot,A moderate amount,A moderate amount,A moderate amount,A lot,A great deal,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A great deal,A lot,A moderate amount,A moderate amount,A great deal,A lot,A lot,A lot,A lot,Female,,28,American
IP Address,,anonymous,EN-GB,Yes,6130c63cbc2019e204794c5b,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat dissatisfied,Extremely satisfied,Somewhat dissatisfied,Extremely satisfied,A great deal,A lot,A moderate amount,A moderate amount,About half the time,A lot,Somewhat,Somewhat,A little,A lot,A little,A lot,A little,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A great deal,A lot,A great deal,A great deal,A great deal,A lot,A lot,A great deal,A lot,A moderate amount,A lot,A lot,A lot,Female,,47,South African
IP Address,,anonymous,EN-GB,Yes,615c7b5b6c6f51e68938c2aa,Strongly agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Extremely satisfied,Extremely satisfied,Somewhat satisfied,A moderate amount,A lot,A moderate amount,A lot,Sometimes,A little,A little,Somewhat,A moderate amount,A moderate amount,A little,A little,None at all,A lot,A moderate amount,A lot,A lot,A moderate amount,A great deal,A lot,A great deal,A great deal,A great deal,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A moderate amount,A moderate amount,A lot,Female,,38,South African
IP Address,,anonymous,EN-GB,Yes,66c109151204b7499223ca01,Somewhat agree,Somewhat agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Extremely dissatisfied,Extremely satisfied,A great deal,A lot,A great deal,A moderate amount,Sometimes,Completely,Completely,A little,A great deal,A great deal,A great deal,A moderate amount,A little,A great deal,A little,A great deal,A moderate amount,A little,A lot,A great deal,A great deal,A lot,A great deal,A moderate amount,A lot,A moderate amount,A great deal,A moderate amount,A lot,A great deal,A lot,A lot,A little,A lot,A little,Female,,22,Portuguese
IP Address,,anonymous,EN-GB,Yes,66b62ccac7f9a5a612c1975f,Somewhat agree,Somewhat agree,Somewhat agree,Extremely dissatisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,A great deal,A little,A little,A lot,Sometimes,A lot,A lot,A little,None at all,None at all,None at all,None at all,None at all,A moderate amount,A great deal,A lot,A great deal,A great deal,A lot,A lot,A lot,A great deal,A great deal,A lot,A little,A lot,A lot,A lot,A lot,A great deal,A lot,A lot,A moderate amount,A little,A moderate amount,Female,,22,zimbabean
IP Address,,anonymous,EN-GB,Yes,6536c7b7d64bbeb9ff9376b7,Somewhat disagree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Extremely satisfied,Neither satisfied nor dissatisfied,Extremely satisfied,A lot,A moderate amount,A lot,A great deal,Most of the time,Somewhat,Somewhat,A lot,A moderate amount,A moderate amount,A lot,A great deal,None at all,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,A little,A great deal,A moderate amount,A lot,A lot,A moderate amount,A lot,A little,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,Male,,22,South Africa
IP Address,,anonymous,EN-GB,Yes,5e95d54c53784a0297c22d72,Somewhat agree,Somewhat agree,Somewhat agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A lot,A moderate amount,A moderate amount,A lot,Sometimes,A little,Somewhat,A little,A little,A lot,A lot,A lot,A little,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,A moderate amount,A little,A little,A moderate amount,A lot,A moderate amount,A lot,A lot,A lot,A lot,A lot,A moderate amount,A lot,A lot,A lot,A great deal,A great deal,Female,,32,Hungarian
IP Address,,anonymous,EN-GB,Yes,668b04d3dba1edb497e564ac,Strongly agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A great deal,A great deal,A great deal,None at all,Sometimes,A lot,A lot,A lot,A great deal,A lot,A great deal,A great deal,A great deal,A lot,A great deal,A great deal,A lot,A great deal,A lot,A great deal,A great deal,A great deal,A great deal,A lot,A lot,A great deal,A great deal,A lot,A moderate amount,A great deal,A great deal,A great deal,A lot,A great deal,A lot,Male,,25,South African
IP Address,,anonymous,EN-GB,Yes,6165807b8ff762a9e038b561,Somewhat agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Extremely satisfied,Somewhat satisfied,Somewhat satisfied,A great deal,A great deal,A lot,A great deal,Sometimes,A lot,A lot,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A little,A lot,A great deal,A great deal,A lot,A moderate amount,A lot,A lot,A great deal,A lot,A great deal,A lot,A lot,A moderate amount,A lot,A great deal,A great deal,A great deal,A lot,A moderate amount,A moderate amount,A lot,A lot,Female,,36,South Africa
IP Address,,anonymous,EN-GB,Yes,664265c1b1af645909e90199,Strongly agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A lot,A lot,A moderate amount,A lot,Sometimes,A lot,Completely,A little,None at all,A little,None at all,A little,None at all,A great deal,A lot,A great deal,A great deal,A moderate amount,A lot,A moderate amount,A great deal,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,A great deal,A great deal,A moderate amount,A moderate amount,A great deal,A little,A moderate amount,A moderate amount,A lot,Female,,26,South African
IP Address,,anonymous,EN-GB,Yes,66f5ac721a35b7cbe10b6424,Strongly agree,Strongly agree,Strongly agree,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A lot,A lot,A great deal,A great deal,Sometimes,Completely,A lot,Completely,A great deal,A lot,A lot,A great deal,A lot,A moderate amount,A lot,A great deal,A great deal,A little,A great deal,A great deal,A great deal,A lot,A lot,A lot,A great deal,A lot,A great deal,A lot,A lot,A great deal,A lot,A lot,A moderate amount,A moderate amount,A lot,Female,,27,United kingdom
IP Address,,anonymous,EN-GB,Yes,668be496c00f7abbe2c9e018,Somewhat agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Extremely satisfied,Neither satisfied nor dissatisfied,Extremely satisfied,A little,A great deal,A great deal,A great deal,Never,A little,Completely,A lot,A lot,A great deal,A lot,A moderate amount,A lot,A great deal,A lot,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,A great deal,A great deal,A lot,A great deal,A great deal,A lot,A lot,A great deal,A lot,A lot,A great deal,A great deal,A great deal,Female,,23,Polish
IP Address,,anonymous,EN-GB,Yes,66d5c6c818682b9dfe4072f2,Strongly agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Extremely satisfied,A great deal,A moderate amount,A little,A lot,About half the time,Not at all,A lot,A little,None at all,A moderate amount,None at all,A moderate amount,A little,A great deal,A moderate amount,A great deal,A lot,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,A moderate amount,A little,A moderate amount,None at all,A lot,None at all,A little,A moderate amount,A great deal,A moderate amount,A little,A little,A little,Male,,28,Italian
IP Address,,anonymous,EN-GB,Yes,664f43a9af818b6e5c4a6fc9,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Extremely satisfied,A lot,A great deal,A moderate amount,A great deal,Sometimes,Completely,Completely,A little,A lot,A moderate amount,A lot,A lot,A moderate amount,A great deal,A little,A moderate amount,A lot,A little,A lot,A great deal,A great deal,A great deal,A great deal,A little,A little,A lot,A lot,A little,A lot,A great deal,A great deal,A lot,A great deal,A lot,None at all,Male,,21,Poland
IP Address,,anonymous,EN-GB,Yes,65b271a26aba0246730964f3,Somewhat agree,Somewhat agree,Somewhat agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A great deal,A lot,None at all,A little,Never,A little,A lot,A little,None at all,A little,None at all,A little,A little,A little,None at all,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A little,None at all,A little,A little,Female,,25,Norwegian
IP Address,,anonymous,EN-GB,Yes,6134d182408816f4c1284496,Somewhat agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A moderate amount,A great deal,A moderate amount,A great deal,Sometimes,Completely,Completely,Somewhat,A moderate amount,A lot,A lot,A moderate amount,A little,A great deal,A moderate amount,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A moderate amount,A great deal,A little,A great deal,A lot,A lot,A lot,A great deal,A moderate amount,A lot,A lot,A lot,A great deal,A great deal,Female,,24,South African
IP Address,,anonymous,EN-GB,Yes,659d7889d314e7f8a1cea431,Somewhat agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Extremely satisfied,A lot,A great deal,A lot,A great deal,Never,Somewhat,Somewhat,Not at all,None at all,A moderate amount,None at all,None at all,None at all,A lot,A moderate amount,A great deal,A moderate amount,A moderate amount,A great deal,A lot,A great deal,A great deal,A great deal,A moderate amount,A lot,A lot,A great deal,A lot,A lot,A great deal,A great deal,None at all,A moderate amount,A moderate amount,A moderate amount,Female,,24,Mexican
